Year,Elevation,Quantity (Kg),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,2022-2
2019-02,Low,14104688.0,,,,,,,,,,,,,,,
2019-02,Total,21716570.0,,,,,,,,,,,,,,,
2019-03,High,5701796.0,,,,,,,,,,,,,,,
2019-03,Medium,4441894.0,,,,,,,,,,,,,,,
2019-03,Low,18212707.0,,,,,,,,,,,,,,,
2019-03,Total,28356397.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019-04,High,5308112.0,,,,,,,,,,,,,,,
2019-04,Medium,3760269.0,,,,,,,,,,,,,,,
2019-04,Low,14568095.0,,,,,,,,,,,,,,,
2019-04,Total,23636475.0,,,,,,,,,,,,,,,
2019-05,High,8090527.0,,,,,,,,,,,,,,,
2019-05,Medium,5764378.0,,,,,,,,,,,,,,,
2019-05,Low,20396821.0,,,,,,,,,,,,,,,
2019-05,Total,34251726.0,,,,,,,,,,,,,,,
2019-06,High,6343167.0,,,,,,,,,,,,,,,
2019-06,Medium,4560392.0,,,,,,,,,,,,,,,
2019-06,Low,16627289.0,,,,,,,,,,,,,,,
2019-06,Total,27530848.0,,,,,,,,,,,,,,,
2019-07,High,5379462.0,,,,,,,,,,,,,,,
2019-07,Medium,3983081.0,,,,,,,,,,,,,,,
2019-07,Low,16610767.0,,,,,,,,,,,,,,,
2019-07,Total,25973310.0,,,,,,,,,,,,,,,
2019-08,High,4871773.0,,,,,,,,,,,,,,,
2019-08,Medium,3887641.0,,,,,,,,,,,,,,,
2019-08,Low,17442073.0,,,,,,,,,,,,,,,
2019-08,Total,26201487.0,,,,,,,,,,,,,,,
2019-09,High,3879344.0,,,,,,,,,,,,,,,
2019-09,Medium,3268112.0,,,,,,,,,,,,,,,
2019-09,Low,14770567.0,,,,,,,,,,,,,,,
2019-09,Total,21918023.0,,,,,,,,,,,,,,,
2019-10,High,3568579.0,,,,,,,,,,,,,,,
2019-10,Medium,3349151.0,,,,,,,,,,,,,,,
2019-10,Low,14345677.0,,,,,,,,,,,,,,,
2019-10,Total,21263407.0,,,,,,,,,,,,,,,
2019-11,High,6550656.0,,,,,,,,,,,,,,,
2019-11,Medium,4160108.0,,,,,,,,,,,,,,,
2019-11,Low,13315362.0,,,,,,,,,,,,,,,
2019-11,Total,24026126.0,,,,,,,,,,,,,,,
2019-12,High,4270633.0,,,,,,,,,,,,,,,
2019-12,Medium,2838194.0,,,,,,,,,,,,,,,
2019-12,Low,14784992.0,,,,,,,,,,,,,,,
2019-12,Total,21893818.0,,,,,,,,,,,,,,,
2020-01,High,5085171.0,,,,,,,,,,,,,,,
2020-01,Medium,3519689.0,,,,,,,,,,,,,,,
2020-01,Low,13338052.0,,,,,,,,,,,,,,,
2020-01,Total,21942912.0,,,,,,,,,,,,,,,
2020-02,High,4548531.0,,,,,,,,,,,,,,,
2020-02,Medium,3388080.0,,,,,,,,,,,,,,,
2020-02,Low,10276682.0,,,,,,,,,,,,,,,
2020-02,Total,18213293.0,,,,,,,,,,,,,,,
2020-03,High,3442723.0,,,,,,,,,,,,,,,
2020-03,Medium,2688075.0,,,,,,,,,,,,,,,
2020-03,Low,7395238.0,,,,,,,,,,,,,,,
2020-03,Total,13526037.0,,,,,,,,,,,,,,,
2020-04,High,4180458.0,,,,,,,,,,,,,,,
2020-04,Medium,3078744.0,,,,,,,,,,,,,,,
2020-04,Low,13563444.0,,,,,,,,,,,,,,,
2020-04,Total,20822646.0,,,,,,,,,,,,,,,
2020-05,High,6788532.0,,,,,,,,,,,,,,,
2020-05,Medium,5971322.0,,,,,,,,,,,,,,,
2020-05,Low,15843192.0,,,,,,,,,,,,,,,
2020-05,Total,28603046.0,,,,,,,,,,,,,,,
2020-06,High,7358261.0,,,,,,,,,,,,,,,
2020-06,Medium,4486521.0,,,,,,,,,,,,,,,
2020-06,Low,15512288.0,,,,,,,,,,,,,,,
2020-06,Total,27357070.0,,,,,,,,,,,,,,,
2020-07,High,5869909.0,,,,,,,,,,,,,,,
2020-07,Medium,4276074.0,,,,,,,,,,,,,,,
2020-07,Low,16333720.0,,,,,,,,,,,,,,,
2020-07,Total,26479703.0,,,,,,,,,,,,,,,
2020-08,High,4138376.0,,,,,,,,,,,,,,,
2020-08,Medium,3416123.0,,,,,,,,,,,,,,,
2020-08,Low,14901637.0,,,,,,,,,,,,,,,
2020-08,Total,22456136.0,,,,,,,,,,,,,,,
2020-09,High,4219565.0,,,,,,,,,,,,,,,
2020-09,Medium,3471742.0,,,,,,,,,,,,,,,
2020-09,Low,14345821.0,,,,,,,,,,,,,,,
2020-09,Total,22037127.0,,,,,,,,,,,,,,,
2020-10,High,4570641.0,,,,,,,,,,,,,,,
2020-10,Medium,3580748.0,,,,,,,,,,,,,,,
2020-10,Low,15693400.0,,,,,,,,,,,,,,,
2020-10,Total,23844788.0,,,,,,,,,,,,,,,
2020-11,High,5502338.0,,,,,,,,,,,,,,,
2020-11,Medium,4129846.0,,,,,,,,,,,,,,,
2020-11,Low,15279668.0,,,,,,,,,,,,,,,
2020-11,Total,24911853.0,,,,,,,,,,,,,,,
2020-12,High,6537989.0,,,,,,,,,,,,,,,
2020-12,Medium,4725292.0,,,,,,,,,,,,,,,
2020-12,Low,17393872.0,,,,,,,,,,,,,,,
2020-12,Total,28657154.0,,,,,,,,,,,,,,,
2021-01,High,4826484.0,,,,,,,,,,,,,,,
2021-01,Medium,3305149.0,,,,,,,,,,,,,,,
2021-01,Low,14913562.0,,,,,,,,,,,,,,,
2021-01,Total,23045195.0,,,,,,,,,,,,,,,
2021-02,High,4590738.0,,,,,,,,,,,,,,,
2021-02,Medium,3588384.0,,,,,,,,,,,,,,,
2021-02,Low,14200275.0,,,,,,,,,,,,,,,
2021-02,Total,22379398.0,,,,,,,,,,,,,,,
2021-03,High,6474028.0,,,,,,,,,,,,,,,
2021-03,Medium,5006587.0,,,,,,,,,,,,,,,
2021-03,Low,16930374.0,,,,,,,,,,,,,,,
2021-03,Total,28410989.0,,,,,,,,,,,,,,,
2021-04,High,6850518.0,,,,,,,,,,,,,,,
2021-04,Medium,5497243.0,,,,,,,,,,,,,,,
2021-04,Low,17239746.0,,,,,,,,,,,,,,,
2021-04,Total,29587507.0,,,,,,,,,,,,,,,
2021-05,High,7176417.0,,,,,,,,,,,,,,,
2021-05,Medium,5910791.0,,,,,,,,,,,,,,,
2021-05,Low,17288611.0,,,,,,,,,,,,,,,
2021-05,Total,30375818.0,,,,,,,,,,,,,,,
2021-06,High,5908146.0,,,,,,,,,,,,,,,
2021-06,Medium,4472658.0,,,,,,,,,,,,,,,
2021-06,Low,15556888.0,,,,,,,,,,,,,,,
2021-06,Total,25937691.0,,,,,,,,,,,,,,,
2021-07,High,5798600.0,,,,,,,,,,,,,,,
2021-07,Medium,4783750.0,,,,,,,,,,,,,,,
2021-07,Low,15582615.0,,,,,,,,,,,,,,,
2021-07,Total,26164965.0,,,,,,,,,,,,,,,
2021-08,High,4993739.0,,,,,,,,,,,,,,,
2021-08,Medium,3830891.0,,,,,,,,,,,,,,,
2021-08,Low,14875463.0,,,,,,,,,,,,,,,
2021-08,Total,23700094.0,,,,,,,,,,,,,,,
2021-09,High,4105984.0,,,,,,,,,,,,,,,
2021-09,Medium,3671696.0,,,,,,,,,,,,,,,
2021-09,Low,14786344.0,,,,,,,,,,,,,,,
2021-09,Total,22564023.0,,,,,,,,,,,,,,,
2021-10,High,4774736.0,,,,,,,,,,,,,,,
2021-10,Medium,4016782.0,,,,,,,,,,,,,,,
2021-10,Low,15205413.0,,,,,,,,,,,,,,,
2021-10,Total,23996931.0,,,,,,,,,,,,,,,
2021-11,High,4127663.0,,,,,,,,,,,,,,,
2021-11,Medium,3228016.0,,,,,,,,,,,,,,,
2021-11,Low,12647820.0,,,,,,,,,,,,,,,
2021-11,Total,20003498.0,,,,,,,,,,,,,,,
2021-12,High,4510771.0,,,,,,,,,,,,,,,
2021-12,Medium,3201506.0,,,,,,,,,,,,,,,
2021-12,Low,12705216.0,,,,,,,,,,,,,,,
2021-12,Total,20417493.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-01,High,5450228.0,,,,,,,,,,,,,,,
2022-01,Medium,3891205.0,,,,,,,,,,,,,,,
2022-01,Low,13475781.0,,,,,,,,,,,,,,,
2022-01,Total,22817214.0,,,,,,,,,,,,,,,
,High,4336674.0,,,,,,,,,,,,,,,2022-2
,Medium,2816892.0,,,,,,,,,,,,,,,2022-2
,Low,11009892.0,,,,,,,,,,,,,,,2022-2
,Total,18163458.0,,,,,,,,,,,,,,,2022-2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-3,High,5033743.0,,,,,,,,,,,,,,,
2022-3,Medium,3473041.0,,,,,,,,,,,,,,,
2022-3,Low,13509104.0,,,,,,,,,,,,,,,
2022-3,Total,22015889.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-3,High,5701102.0,,,,,,,,,,,,,,,
2022-3,Medium,4155560.0,,,,,,,,,,,,,,,
2022-3,Low,13052927.0,,,,,,,,,,,,,,,
2022-3,Total,22909589.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-5,High,6396596.0,,,,,,,,,,,,,,,
2022-5,Medium,4797854.0,,,,,,,,,,,,,,,
2022-5,Low,14844841.0,,,,,,,,,,,,,,,
2022-5,Total,26039291.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-6,High,4055137.0,,,,,,,,,,,,,,,
2022-6,Medium,2966624.0,,,,,,,,,,,,,,,
2022-6,Low,13127004.0,,,,,,,,,,,,,,,
2022-6,Total,20148765.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-7,High,4087998.0,,,,,,,,,,,,,,,
2022-7,Medium,2895363.0,,,,,,,,,,,,,,,
2022-7,Low,12877521.0,,,,,,,,,,,,,,,
2022-7,Total,19860882.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-8,High,3392650.0,,,,,,,,,,,,,,,
2022-8,Medium,2463725.0,,,,,,,,,,,,,,,
2022-8,Low,12420516.0,,,,,,,,,,,,,,,
2022-8,Total,18276892.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-9,High,4733873.0,,,,,,,,,,,,,,,
2022-9,Medium,3521068.0,,,,,,,,,,,,,,,
2022-9,Low,12708395.0,,,,,,,,,,,,,,,
2022-9,Total,20963336.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-9,High,3955169.0,,,,,,,,,,,,,,,
2022-9,Medium,3059949.0,,,,,,,,,,,,,,,
2022-9,Low,11736446.0,,,,,,,,,,,,,,,
2022-9,Total,18751563.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-11,High,4345969.0,,,,,,,,,,,,,,,
2022-11,Medium,3093063.0,,,,,,,,,,,,,,,
2022-11,Low,12805882.0,,,,,,,,,,,,,,,
2022-11,Total,20244914.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-12,High,4318277.0,,,,,,,,,,,,,,,
2022-12,Medium,2908277.0,,,,,,,,,,,,,,,
2022-12,Low,12274848.0,,,,,,,,,,,,,,,
2022-12,Total,19501402.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2023-01,High,3602233.0,,,,,,,,,,,,,,,
2023-01,Medium,2465070.0,,,,,,,,,,,,,,,
2023-01,Low,13070219.0,,,,,,,,,,,,,,,
2023-01,Total,19137522.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2023-02,High,4287367.0,,,,,,,,,,,,,,,
2023-02,Medium,3069724.0,,,,,,,,,,,,,,,
2023-02,Low,11358162.0,,,,,,,,,,,,,,,
2023-02,Total,18715252.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2023-03,High,4662823.0,,,,,,,,,,,,,,,
2023-03,Medium,3571941.0,,,,,,,,,,,,,,,
2023-03,Low,13101506.0,,,,,,,,,,,,,,,
2023-03,Total,21336270.0,,,,,,,,,,,,,,,
2023-04,High,6154178.0,,,,,,,,,,,,,,,
2023-04,Medium,4472486.0,,,,,,,,,,,,,,,
2023-04,Low,14102060.0,,,,,,,,,,,,,,,
2023-04,Total,24728725.0,,,,,,,,,,,,,,,
2023-05,High,7008245.0,,,,,,,,,,,,,,,
2023-05,Medium,4816364.0,,,,,,,,,,,,,,,
2023-05,Low,14699890.0,,,,,,,,,,,,,,,
2023-05,Total,26524500.0,,,,,,,,,,,,,,,
2023-06,High,5608026.0,,,,,,,,,,,,,,,
,Medium,4075834.0,,,,,,,,,,,,,,,
,Low,13313470.0,,,,,,,,,,,,,,,
,Tota,22997330.0,,,,,,,,,,,,,,,
2023-07,High,4359540.0,,,,,,,,,,,,,,,
,Medium,3336171.0,,,,,,,,,,,,,,,
,Low,13679428.0,,,,,,,,,,,,,,,
,Tota,21375139.0,,,,,,,,,,,,,,,
2023-08,High,4175773.0,,,,,,,,,,,,,,,
,Medium,2985110.0,,,,,,,,,,,,,,,
,Low,11091047.0,,,,,,,,,,,,,,,
,Tota,18251931.0,,,,,,,,,,,,,,,
2023-09,High,4272729.0,,,,,,,,,,,,,,,
,Medium,3038078.0,,,,,,,,,,,,,,,
,Low,11412703.0,,,,,,,,,,,,,,,
,Total,18723511.0,,,,,,,,,,,,,,,
2023-10,High,4122476.0,,,,,,,,,,,,,,,
,Medium,3914332.0,,,,,,,,,,,,,,,
,Low,14815431.0,,,,,,,,,,,,,,,
,Total,22852239.0,,,,,,,,,,,,,,,
2023-11,High,4528496.0,,,,,,,,,,,,,,,
,Medium,3398725.0,,,,,,,,,,,,,,,
,Low,11658966.0,,,,,,,,,,,,,,,
,Total,19586187.0,,,,,,,,,,,,,,,
2023-12,High,4585022.0,,,,,,,,,,,,,,,
,Medium,2965383.0,,,,,,,,,,,,,,,
,Low,12258592.0,,,,,,,,,,,,,,,
,Total,19808996.0,,,,,,,,,,,,,,,
,High,4336674.0,,,,,,,,,,,,,,,2022-2
,Medium,2816892.0,,,,,,,,,,,,,,,2022-2
,Low,11009892.0,,,,,,,,,,,,,,,2022-2
,Total,18163458.0,,,,,,,,,,,,,,,2022-2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-3,High,5033743.0,,,,,,,,,,,,,,,
2022-3,Medium,3473041.0,,,,,,,,,,,,,,,
2022-3,Low,13509104.0,,,,,,,,,,,,,,,
2022-3,Total,22015889.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-3,High,5701102.0,,,,,,,,,,,,,,,
2022-3,Medium,4155560.0,,,,,,,,,,,,,,,
2022-3,Low,13052927.0,,,,,,,,,,,,,,,
2022-3,Total,22909589.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-5,High,6396596.0,,,,,,,,,,,,,,,
2022-5,Medium,4797854.0,,,,,,,,,,,,,,,
2022-5,Low,14844841.0,,,,,,,,,,,,,,,
2022-5,Total,26039291.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-6,High,4055137.0,,,,,,,,,,,,,,,
2022-6,Medium,2966624.0,,,,,,,,,,,,,,,
2022-6,Low,13127004.0,,,,,,,,,,,,,,,
2022-6,Total,20148765.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-7,High,4087998.0,,,,,,,,,,,,,,,
2022-7,Medium,2895363.0,,,,,,,,,,,,,,,
2022-7,Low,12877521.0,,,,,,,,,,,,,,,
2022-7,Total,19860882.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-8,High,3392650.0,,,,,,,,,,,,,,,
2022-8,Medium,2463725.0,,,,,,,,,,,,,,,
2022-8,Low,12420516.0,,,,,,,,,,,,,,,
2022-8,Total,18276892.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-9,High,4733873.0,,,,,,,,,,,,,,,
2022-9,Medium,3521068.0,,,,,,,,,,,,,,,
2022-9,Low,12708395.0,,,,,,,,,,,,,,,
2022-9,Total,20963336.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-9,High,3955169.0,,,,,,,,,,,,,,,
2022-9,Medium,3059949.0,,,,,,,,,,,,,,,
2022-9,Low,11736446.0,,,,,,,,,,,,,,,
2022-9,Total,18751563.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2023-12,High,3561131.0,,,,,,,,,,,,,,,
,Medium,2600912.0,,,,,,,,,,,,,,,
,Low,12567414.0,,,,,,,,,,,,,,,
,Total,18729458.0,,,,,,,,,,,,,,,
2024-02,High,4524500.0,,,,,,,,,,,,,,,
,Medium,3644964.0,,,,,,,,,,,,,,,
,Low,11826550.0,,,,,,,,,,,,,,,
,Total,19996013.0,,,,,,,,,,,,,,,
2024-03,High,4948240.0,,,,,,,,,,,,,,,
,Medium,3849349.0,,,,,,,,,,,,,,,
,Low,10769345.0,,,,,,,,,,,,,,,
,Total,19566934.0,,,,,,,,,,,,,,,
2024-04,High,4588783.0,,,,,,,,,,,,,,,
,Medium,3555261.0,,,,,,,,,,,,,,,
,Low,13320564.0,,,,,,,,,,,,,,,
,Total,21464608.0,,,,,,,,,,,,,,,
2024-05,High,5883170.0,,,,,,,,,,,,,,,
,Medium,4405081.0,,,,,,,,,,,,,,,
,Low,14261481.0,,,,,,,,,,,,,,,
,Total,24549732.0,,,,,,,,,,,,,,,
2024-06,High,4932517.0,,,,,,,,,,,,,,,
,Medium,4382933.0,,,,,,,,,,,,,,,
,Low,13708936.0,,,,,,,,,,,,,,,
,Total,23024387.0,,,,,,,,,,,,,,,
2024-07,High,5579266.0,,,,,,,,,,,,,,,
,Medium,4030200.0,,,,,,,,,,,,,,,
,Low,13282100.0,,,,,,,,,,,,,,,
,Total,22891566.0,,,,,,,,,,,,,,,
2024-08,High,3823683.0,,,,,,,,,,,,,,,
,Medium,3778299.0,,,,,,,,,,,,,,,
,Low,13679957.0,,,,,,,,,,,,,,,
,Total,21281940.0,,,,,,,,,,,,,,,
2024-09,High,4694536.0,,,,,,,,,,,,,,,
,Medium,4198777.0,,,,,,,,,,,,,,,
,Low,15239934.0,,,,,,,,,,,,,,,
,Total,24133247.0,,,,,,,,,,,,,,,
2024-10,High,4109203.0,,,,,,,,,,,,,,,
,Medium,3607331.0,,,,,,,,,,,,,,,
,Low,13432801.0,,,,,,,,,,,,,,,
,Total,21149334.0,,,,,,,,,,,,,,,
2011-01,High,4964739.1,,,,,,,,,,,,,,,
2011-01,Medium,2880223.1,,,,,,,,,,,,,,,
2011-01,Low,13295786.5,,,,,,,,,,,,,,,
2011-01,Total,21140748.7,,,,,,,,,,,,,,,
2011-01,High,4964739.1,,,,,,,,,,,,,,,
2011-01,Medium,2880223.1,,,,,,,,,,,,,,,
2011-01,Low,13295786.5,,,,,,,,,,,,,,,
2011-01,Total,21140748.7,,,,,,,,,,,,,,,
